 "s" , "o" ,
 "https://en-word.net/lemma/unabused#unabused-ewn-00017726-a" , "https://en-word.net/lemma/abused#abused-ewn-00017390-a" ,
 "https://en-word.net/lemma/abused#abused-ewn-00017390-a" , "https://en-word.net/lemma/unabused#unabused-ewn-00017726-a" ,
 "https://en-word.net/lemma/unacceptable#unacceptable-ewn-00018622-a" , "https://en-word.net/lemma/acceptable#acceptable-ewn-00017820-a" ,
 "https://en-word.net/lemma/unacceptability#unacceptability-ewn-04801174-n" , "https://en-word.net/lemma/acceptability#acceptability-ewn-04799910-n" ,
 "https://en-word.net/lemma/acceptable#acceptable-ewn-00017820-a" , "https://en-word.net/lemma/unacceptable#unacceptable-ewn-00018622-a" ,
 "https://en-word.net/lemma/get_up#get_up-ewn-00018151-v" , "https://en-word.net/lemma/go_to_bed#go_to_bed-ewn-00017858-v" ,
 "https://en-word.net/lemma/turn_out#turn_out-ewn-00018151-v" , "https://en-word.net/lemma/turn_in#turn_in-ewn-00017858-v" ,
 "https://en-word.net/lemma/go_to_bed#go_to_bed-ewn-00017858-v" , "https://en-word.net/lemma/get_up#get_up-ewn-00018151-v" ,
 "https://en-word.net/lemma/turn_in#turn_in-ewn-00017858-v" , "https://en-word.net/lemma/turn_out#turn_out-ewn-00018151-v" ,
 "https://en-word.net/lemma/acceptability#acceptability-ewn-04799910-n" , "https://en-word.net/lemma/unacceptability#unacceptability-ewn-04801174-n" ,
 "https://en-word.net/lemma/cause_to_sleep#cause_to_sleep-ewn-00019266-v" , "https://en-word.net/lemma/awaken#awaken-ewn-00018806-v" ,
 "https://en-word.net/lemma/awaken#awaken-ewn-00018806-v" , "https://en-word.net/lemma/cause_to_sleep#cause_to_sleep-ewn-00019266-v" ,
 "https://en-word.net/lemma/inaccessible#inaccessible-ewn-00019912-a" , "https://en-word.net/lemma/accessible#accessible-ewn-00019169-a" ,
 "https://en-word.net/lemma/accessible#accessible-ewn-00019169-a" , "https://en-word.net/lemma/inaccessible#inaccessible-ewn-00019912-a" ,
 "https://en-word.net/lemma/artifact#artifact-ewn-00022119-n" , "https://en-word.net/lemma/natural_object#natural_object-ewn-00019308-n" ,
 "https://en-word.net/lemma/natural_object#natural_object-ewn-00019308-n" , "https://en-word.net/lemma/artifact#artifact-ewn-00022119-n" ,
 "https://en-word.net/lemma/insubstantial#insubstantial-ewn-00628492-a" , "https://en-word.net/lemma/substantial#substantial-ewn-00628097-a" ,
 "https://en-word.net/lemma/never#never-ewn-00021214-r" , "https://en-word.net/lemma/ever#ever-ewn-00019801-r" ,
 "https://en-word.net/lemma/ever#ever-ewn-00019801-r" , "https://en-word.net/lemma/never#never-ewn-00021214-r" ,
 "https://en-word.net/lemma/sleeping#sleeping-ewn-05688958-n" , "https://en-word.net/lemma/waking#waking-ewn-05686141-n" ,
 "https://en-word.net/lemma/unaccommodating#unaccommodating-ewn-00021440-a" , "https://en-word.net/lemma/accommodating#accommodating-ewn-00020824-a" ,
 "https://en-word.net/lemma/accommodating#accommodating-ewn-00020824-a" , "https://en-word.net/lemma/unaccommodating#unaccommodating-ewn-00021440-a" ,
 "https://en-word.net/lemma/variable#variable-ewn-02514176-a" , "https://en-word.net/lemma/invariable#invariable-ewn-02515761-a" ,
 "https://en-word.net/lemma/bring_to#bring_to-ewn-00022092-v" , "https://en-word.net/lemma/anesthetize#anesthetize-ewn-00021058-v" ,
 "https://en-word.net/lemma/anesthetize#anesthetize-ewn-00021058-v" , "https://en-word.net/lemma/bring_to#bring_to-ewn-00022092-v" ,
 "https://en-word.net/lemma/inaccurate#inaccurate-ewn-00023420-a" , "https://en-word.net/lemma/accurate#accurate-ewn-00021803-a" ,
 "https://en-word.net/lemma/accurate#accurate-ewn-00021803-a" , "https://en-word.net/lemma/inaccurate#inaccurate-ewn-00023420-a" ,
 "https://en-word.net/lemma/unfaithfulness#unfaithfulness-ewn-04886056-n" , "https://en-word.net/lemma/faithfulness#faithfulness-ewn-04884180-n" ,
 "https://en-word.net/lemma/stimulate#stimulate-ewn-00022679-v" , "https://en-word.net/lemma/sedate#sedate-ewn-00022309-v" ,
 "https://en-word.net/lemma/sedate#sedate-ewn-00022309-v" , "https://en-word.net/lemma/stimulate#stimulate-ewn-00022679-v" ,
 "https://en-word.net/lemma/unequal#unequal-ewn-00895672-a" , "https://en-word.net/lemma/equal#equal-ewn-00893124-a" ,
 "https://en-word.net/lemma/de-energise#de-energise-ewn-00023237-v" , "https://en-word.net/lemma/energise#energise-ewn-00022679-v" ,
 "https://en-word.net/lemma/de-energize#de-energize-ewn-00023237-v" , "https://en-word.net/lemma/energize#energize-ewn-00022679-v" ,
 "https://en-word.net/lemma/energise#energise-ewn-00022679-v" , "https://en-word.net/lemma/de-energise#de-energise-ewn-00023237-v" ,
 "https://en-word.net/lemma/energize#energize-ewn-00022679-v" , "https://en-word.net/lemma/de-energize#de-energize-ewn-00023237-v" ,
 "https://en-word.net/lemma/depressant#depressant-ewn-02315894-a" , "https://en-word.net/lemma/stimulative#stimulative-ewn-02317021-a" ,
 "https://en-word.net/lemma/unconventionally#unconventionally-ewn-00024080-r" , "https://en-word.net/lemma/conventionally#conventionally-ewn-00023933-r" ,
 "https://en-word.net/lemma/conventionally#conventionally-ewn-00023933-r" , "https://en-word.net/lemma/unconventionally#unconventionally-ewn-00024080-r" ,
 "https://en-word.net/lemma/unconventional#unconventional-ewn-00608979-a" , "https://en-word.net/lemma/conventional#conventional-ewn-00607893-a" ,
 "https://en-word.net/lemma/unconventional#unconventional-ewn-00610798-a" , "https://en-word.net/lemma/conventional#conventional-ewn-00607893-a" ,
 "https://en-word.net/lemma/conventional#conventional-ewn-00607893-a" , "https://en-word.net/lemma/unconventional#unconventional-ewn-00608979-a" ,
 "https://en-word.net/lemma/unaccustomed_to#unaccustomed_to-ewn-00024914-a" , "https://en-word.net/lemma/accustomed_to#accustomed_to-ewn-00024458-a" ,
 "https://en-word.net/lemma/accustomed_to#accustomed_to-ewn-00024458-a" , "https://en-word.net/lemma/unaccustomed_to#unaccustomed_to-ewn-00024914-a" ,
